
> @hatef/partner-web@0.1.0 dev E:\github\hatef-new version\frontend\partner-web
> dotenv -e ../../.env -- next dev --webpack --port 3001

▲ Next.js 16.2.11 (webpack)
- Local:         http://localhost:3001
- Network:       http://192.168.100.66:3001
✓ Ready in 5.4s

 GET /login 200 in 78ms (next.js: 3ms, proxy.ts: 5ms, application-code: 70ms)
 GET /login 200 in 73ms (next.js: 4ms, proxy.ts: 6ms, application-code: 64ms)
 GET /login 200 in 69ms (next.js: 4ms, proxy.ts: 5ms, application-code: 60ms)
 GET /login 200 in 80ms (next.js: 5ms, proxy.ts: 5ms, application-code: 70ms)
 GET /login 200 in 89ms (next.js: 4ms, proxy.ts: 8ms, application-code: 76ms)
 GET /login 200 in 75ms (next.js: 3ms, proxy.ts: 7ms, application-code: 66ms)
 GET /login 200 in 117ms (next.js: 6ms, proxy.ts: 6ms, application-code: 105ms)
 GET /login 200 in 65ms (next.js: 3ms, proxy.ts: 6ms, application-code: 56ms)
 GET /login 200 in 71ms (next.js: 3ms, proxy.ts: 6ms, application-code: 61ms)
 GET /login 200 in 67ms (next.js: 4ms, proxy.ts: 5ms, application-code: 59ms)
 GET /login 200 in 67ms (next.js: 3ms, proxy.ts: 6ms, application-code: 59ms)
 GET /login 200 in 97ms (next.js: 4ms, proxy.ts: 8ms, application-code: 85ms)
 GET /login 200 in 83ms (next.js: 3ms, proxy.ts: 6ms, application-code: 74ms)
 GET /login 200 in 90ms (next.js: 7ms, proxy.ts: 8ms, application-code: 75ms)
 GET /login 200 in 69ms (next.js: 4ms, proxy.ts: 4ms, application-code: 61ms)
